Price,Close,High,Low,Open,Volume,Log_Returns,Normalized_Log_Returns
Ticker,8874.5302734375,^FTSE,^FTSE,^FTSE,^FTSE,,
Datetime,8874.5302734375,^FTSE,^FTSE,^FTSE,^FTSE,0.0,
2025-07-04 13:00:00+00:00,8826.1103515625,8830.919921875,8803.33984375,8803.33984375,0,0.002579797745865295,1.2169057586586596
2025-07-04 14:00:00+00:00,8825.1103515625,8829.76953125,8822.6103515625,8826.2998046875,0,-0.00011330661124113713,-0.3211634882270174
2025-07-04 15:00:00+00:00,8823.150390625,8826.5400390625,8818.6298828125,8825.16015625,0,-0.00022211377927718056,-0.41191728263519395
2025-07-07 07:00:00+00:00,8816.259765625,8825.9599609375,8798.73046875,8822.91015625,0,-0.0007812761639376241,-0.6829912953793297
2025-07-07 08:00:00+00:00,8820.259765625,8820.259765625,8807.419921875,8816.4501953125,0,0.0004536042456106576,0.12312369833177944
2025-07-07 09:00:00+00:00,8821.6396484375,8826.7802734375,8818.099609375,8820.2998046875,0,0.000156432454683911,0.1254782872197588
2025-07-07 10:00:00+00:00,8833.9501953125,8834.2802734375,8820.6103515625,8821.5302734375,0,0.001394521392823928,1.1452844223888807
2025-07-07 11:00:00+00:00,8823.9296875,8836.8203125,8819.2197265625,8834.4599609375,0,-0.001134961722998589,-1.0945658442530255
2025-07-07 12:00:00+00:00,8812.3896484375,8825.3603515625,8812.150390625,8823.9404296875,0,-0.0013086676975678617,-1.133594094802843
2025-07-07 13:00:00+00:00,8822.8701171875,8825.0703125,8803.490234375,8812.330078125,0,0.0011885812994105829,1.0109627561089798
2025-07-07 14:00:00+00:00,8811.48046875,8824.26953125,8804.8203125,8822.8701171875,0,-0.001291757240025365,-1.0232206134483526
2025-07-07 15:00:00+00:00,8805.400390625,8813.3896484375,8803.7197265625,8811.5,0,-0.0006902559442774622,-0.519111700484992
2025-07-08 07:00:00+00:00,8815.8798828125,8818.2099609375,8803.26953125,8806.4501953125,0,0.0011894133979294512,0.9705249367818113
2025-07-08 08:00:00+00:00,8819.8701171875,8820.7001953125,8806.6298828125,8815.7998046875,0,0.0004525165579111253,0.35537232649671496
2025-07-08 09:00:00+00:00,8813.26953125,8824.3095703125,8811.4599609375,8819.75,0,-0.00074865694679399,-0.7295889722403309
2025-07-08 10:00:00+00:00,8820.0703125,8825.3603515625,8810.83984375,8813.2197265625,0,0.000771354904681802,0.5294772371301735
2025-07-08 11:00:00+00:00,8821.91015625,8823.83984375,8816.91015625,8820.0400390625,0,0.000208575648287181,0.06269374564746176
2025-07-08 12:00:00+00:00,8812.650390625,8821.8798828125,8810.9404296875,8821.8798828125,0,-0.0010501839783787791,-1.0992121694753019
2025-07-08 13:00:00+00:00,8840.8798828125,8844.5498046875,8810.759765625,8812.490234375,0,0.0031981723555463658,2.4011714878478747
2025-07-08 14:00:00+00:00,8846.419921875,8849.650390625,8837.4296875,8840.849609375,0,0.0006264426232210525,0.3074462198544629
2025-07-08 15:00:00+00:00,8843.3203125,8853.6201171875,8843.2001953125,8846.2998046875,0,-0.0003504414836684693,-0.3994594600857597
2025-07-09 07:00:00+00:00,8869.599609375,8886.9404296875,8854.1796875,8854.1796875,0,0.002967248344415465,2.1059388919776496
2025-07-09 08:00:00+00:00,8858.2197265625,8879.5703125,8856.240234375,8869.5302734375,0,-0.001283844804590544,-1.1133376425939194
2025-07-09 09:00:00+00:00,8873.2197265625,8879.9296875,8858.5595703125,8858.5595703125,0,0.0016919104191009907,1.0145642084662634
2025-07-09 10:00:00+00:00,8885.0595703125,8885.740234375,8869.91015625,8873.2197265625,0,0.001333445127921694,0.7067056227930973
2025-07-09 11:00:00+00:00,8877.0302734375,8887.7001953125,8873.6796875,8884.9501953125,0,-0.000904093774161871,-0.8707320210434832
2025-07-09 12:00:00+00:00,8862.5703125,8877.3603515625,8860.8603515625,8877.0,0,-0.0016302468671687863,-1.246477140629011
2025-07-09 13:00:00+00:00,8870.26953125,8871.9404296875,8858.6904296875,8862.4404296875,0,0.0008683571612484169,0.4294784977871887
2025-07-09 14:00:00+00:00,8865.0498046875,8870.6201171875,8856.900390625,8869.990234375,0,-0.0005886250610253778,-0.6429988446124997
2025-07-09 15:00:00+00:00,8867.9501953125,8869.9697265625,8859.4697265625,8865.1103515625,0,0.0003271178763732385,0.053049123573299904
2025-07-10 07:00:00+00:00,8943.099609375,8956.509765625,8868.3896484375,8868.48046875,0,0.008438566039781003,3.439858690737685
